name,city,iata,latitude,longitude
Leipzig Halle,Leipzig,LEJ,51.432447,12.241633
Saarbrucken,Saarbruecken,SCN,49.214553,7.109508
Stuttgart,Stuttgart,STR,48.689878,9.221964
Tegel,Berlin,TXL,52.559686,13.287711
Hannover,Hannover,HAJ,52.461056,9.685078
Neuenland,Bremen,BRE,53.0475,8.786667
Egelsbach,Egelsbach,,49.960833,8.6415
Frankfurt Hahn,Hahn,HHN,49.948672,7.263892
Mannheim City,Mannheim,MHG,49.472706,8.514264
Allendorf Eder,Allendorf,,51.034878,8.680839
Worms,Worms,,49.606511,8.3684
Mainz Finthen,Mainz,,49.968931,8.148336
Eisenach Kindel,Eisenach,,50.992797,10.472711
Siegerland,Siegerland,,50.707658,8.082969
Hamburg Finkenwerder,Hamburg,XFW,53.535886,9.837025
Kiel Holtenau,Kiel,KEL,54.3795,10.145167
Lubeck Blankensee,Luebeck,LBC,53.805367,10.719222
Dahlemer Binz,Dahlemer Binz,,50.405888,6.528083
Meinerzhagen,Meinerzhagen,,51.099445,7.601944
Arnsberg Menden,Arnsberg,ZCA,51.483333,7.899333
Essen Mulheim,Essen,ESS,51.402333,6.937333
Bielefeld,Bielefeld,,51.964833,8.544833
Monchengladbach,Moenchengladbach,MGL,51.230356,6.504494
Paderborn Lippstadt,Paderborn,PAD,51.614089,8.616317
Stadtlohn Vreden,Stadtlohn,,51.995844,6.840667
Dortmund,Dortmund,DTM,51.518314,7.612242
Augsburg,Augsburg,AGB,48.425158,10.931764
Biberach An Der Riss,Biberach,,48.111,9.762833
Eggenfelden,Eggenfelden,,48.396167,12.723667
Mindelheim Mattsies,Mindelheim,,48.108833,10.524333
Oberpfaffenhofen,Oberpfaffenhofen,OBF,48.081364,11.283067
Straubing,Straubing,,48.90095,12.518186
Vilshofen,Vilshofen,,48.635167,13.195667
Leutkirch Unterzeil,Leutkirch,,47.859117,10.014572
Friedrichshafen,Friedrichshafen,FDH,47.671317,9.511486
Schwerin Parchim,Parchim,SZW,53.426997,11.783436
Stendal Borstel,Stendal,ZSN,52.627778,11.818333
Aalen Heidenheim Elchingen,Aalen-heidenheim,,48.777833,10.264667
Bayreuth,Bayreuth,BYU,49.984428,11.638569
Burg Feuerstein,Burg Feuerstein,,49.793833,11.133167
Hof Plauen,Hof,HOQ,50.288836,11.854919
Hassfurt Schweinfurt,Hassfurt,,50.018,10.5295
Koblenz Winningen,Koblenz,ZNV,50.3255,7.528667
Trier Fohren,Trier,ZQF,49.8635,6.788167
Speyer,Speyer,ZQC,49.302776,8.451195
Zweibrucken,Zweibruecken,,49.209525,7.400647
Donaueschingen Villingen,Donaueschingen,ZQL,47.973331,8.522223
Freiburg,Freiburg,,48.022653,7.832583
Mengen Hohentengen,Mengen,,48.053833,9.372833
Schwabisch Hall,Schwaebisch Hall,,49.118317,9.783956
Finsterwalde Schacksdorf,Soest,,51.6075,13.738
Braunschweig Wolfsburg,Braunschweig,BWE,52.319167,10.556111
Kassel Calden,Kassel,KSF,51.408394,9.377631
Hildesheim,Hildesheim,,52.179833,9.945667
Bremerhaven,Bremerhaven,BRV,53.507081,8.572878
Emden,Emden,EME,53.391186,7.227408
Leer Papenburg,Leer,,53.271592,7.442344
Wilhelmshaven Mariensiel,Wilhelmshaven,WVN,53.504833,8.053333
Borkum,Borkum,BMK,53.5955,6.709167
Norderney,Norderney,NRD,53.706822,7.230247
Flensburg Schaferhaus,Flensburg,FLF,54.771772,9.378214
Rendsburg Schachtholm,Rendsburg,,54.220928,9.600803
Westerland Sylt,Westerland,GWT,54.91325,8.340472
Amari,Armari Air Force Base,,59.260286,24.208467
Kardla,Kardla,KDL,58.990756,22.830733
Kuressaare,Kuressaare,URE,58.229883,22.509494
Parnu,Parnu,EPU,58.419044,24.472819
